20220917	20:25:45	506a0369-3d32-4a4e-ac0f-f726745f7a4b	/new-page	GET
20220917	20:25:46	ba7322d7-1024-4ea3-a191-c841ef1cd495	/css/style.css	GET
20220917	20:25:46	c1c65ee4-235a-4ec9-ac67-731501d0a12e	/img/img1.jpg	GET
20220917	20:25:46	c54f52e7-f26d-44a4-9284-094c73fc6506	/favicon.ico	GET
20220917	20:28:00	305485ca-1add-4a25-bd98-c75bc2856d37	/new-page	GET
20220917	20:29:04	49e35faf-c5c2-4ccb-96af-2a52545b44a8	/new-page	GET
20220917	20:29:04	a69cb44e-7a8d-4ecb-a959-89cdcdb581db	/css/style.css	GET
20220917	20:29:04	99a20702-1a4d-446b-bbb9-51173a50a1c9	/img/img1.jpg	GET
20220917	20:29:12	dbc02295-e1cc-4032-9c00-169713a86b28	/	GET
20220917	20:29:12	38545f06-5a07-4985-9d24-75d74685b4dd	/css/style.css	GET
20220918	14:16:39	c407212c-ec1d-4de9-9930-ef3b5f4d23ef	GET	undefined	/
20220918	14:16:39	e376ec4f-6102-4e71-bff5-dd4ce4b8b2cd	GET	undefined	/css/style.css
20220918	14:22:52	04c14939-533c-4021-8a91-1a7587c85a9c	GET	undefined	/
20220918	14:22:52	b26b3e8e-57ee-4358-8bbd-d75fe987e55b	GET	undefined	/css/style.css
20220918	14:25:12	ff5bd2c1-4869-4d29-af73-e203db9b3772	OPTIONS	https://www.google.com	/
20220918	14:25:12	82797bbc-eea6-4fc1-b433-612cd30f135d	GET	https://www.google.com	/
20220918	14:26:40	b2b9bdb4-e881-43c1-aae0-b7ddbc4d08b7	OPTIONS	https://www.google.com	/
20220918	14:26:40	3fd38f73-c7c5-4e98-9cc3-eb937cdef1ca	GET	https://www.google.com	/
20220918	14:30:28	1e7ace1b-d7f2-4d9f-b221-ea205c678537	OPTIONS	https://www.google.com	/
20220918	14:30:28	41273a99-ec19-4b9b-bd90-4f3f2e13e0ed	GET	https://www.google.com	/
20220918	14:38:00	388a703c-ddc5-460e-9a06-fda3dc1c9ee0	OPTIONS	https://www.google.com	/
20220918	14:38:00	65fd36b3-3ddb-407a-b56b-85c1bc931aec	GET	https://www.google.com	/
20220918	14:38:31	eaa7cc88-89fd-472d-9b7f-0a8bba212616	OPTIONS	https://www.google.com	/
20220918	14:38:31	dbb80d5c-b6b3-445c-bdaa-451eed6d530c	GET	https://www.google.com	/
20220918	14:39:32	79f45bb5-496b-4caa-9a3b-a74c7d1ef799	OPTIONS	https://www.google.com	/
20220918	14:39:32	b8abf835-99ab-49f5-9afb-15d48721e8dc	GET	https://www.google.com	/
20220918	14:42:42	97f8d698-e4bb-424c-9b73-752654eea8c0	GET	undefined	/
20220918	14:44:49	3bc32041-b08c-4d09-bb63-48b3fad6797d	GET	undefined	/
20220918	14:44:49	9de2eacb-0d72-432e-bf8f-2a5049aa4d21	GET	undefined	/css/style.css
20220918	14:57:06	c9ddd4a2-726e-4f59-850e-6e7e361bcd69	GET	undefined	/
20220918	14:57:19	55a660e3-5512-4854-b2c4-eb9a99f9a247	GET	undefined	/
20220918	14:58:13	a28fed22-77a7-4783-88e2-4e059d8dc096	GET	undefined	/
20220918	14:59:45	77f0fa7e-6190-4e2f-aaa7-6cb1f70ddd88	GET	undefined	/
20220918	14:59:45	5aebbda6-cbd0-4d34-898a-92301ffbb028	GET	undefined	/css/style.css
20220918	15:02:00	9f993bad-ea49-4860-a313-5819e6b0a23b	GET	undefined	/dave
20220918	15:02:00	a8b33382-3f39-4115-8878-466a8ff0d3c7	GET	undefined	/css/style.css
20220918	15:07:19	a2d52fd7-192c-4045-9e84-30d2c2ba718d	GET	undefined	/dave
20220918	15:07:19	7c396668-627d-40fc-be82-f7afd75a6512	GET	undefined	/css/style.css
20220918	15:33:43	5afa26bf-55dc-485c-b2da-310f8d7f789f	GET	undefined	/
20220918	15:33:43	cb3620f4-c3ad-4473-8eef-8b133f8a7faa	GET	undefined	/css/style.css
20220918	15:33:46	414eeb8c-f0b5-4b41-95df-854a58defac1	GET	undefined	/
20220918	15:33:46	16d0c389-0035-4bdb-98e3-57f904ef1153	GET	undefined	/css/style.css
20220918	15:34:11	9c8cf411-146e-49ed-8f72-591c5fb23276	GET	undefined	/subdir
20220918	15:35:19	611045bd-eec0-4c27-823c-593a8bf1ebd8	GET	undefined	/subdir/test
20220918	15:36:11	99096ddd-2240-4a77-92f8-01ef507d6ba5	GET	undefined	/subdir/dave
20220918	15:36:11	0486f2c1-c46c-4afd-8918-4a90e30bb669	GET	undefined	/subdir/css/style.css
20220918	15:36:39	238903d5-19de-4cce-9012-d9c7cd2ad99e	GET	undefined	/dave
20220918	15:36:39	390917df-17d4-4ab5-92ba-bbb8809c9cc6	GET	undefined	/css/style.css
20220918	15:39:18	16e50617-f85b-4a2e-a7b4-9e806838dd24	GET	undefined	/dave
20220918	15:39:18	4de65198-4af1-4779-9330-f2552ab9addb	GET	undefined	/css/style.css
20220918	15:39:25	fc86d69b-3a23-4a3a-bdd9-f069ff7026c6	GET	undefined	/subdir/dave
20220918	15:39:25	ea00d223-eab6-44ec-a55f-43522579e624	GET	undefined	/subdir/css/style.css
20220918	15:39:27	df01d06b-d28a-4da6-aec4-a796b7e29ee4	GET	undefined	/subdir/dave
20220918	15:39:27	f0a65292-022b-4f54-8b16-1ca8920cec45	GET	undefined	/subdir/css/style.css
20220919	18:00:00	df4548e0-fdec-4a93-8021-68c5518cbd0a	GET	undefined	/subdir/dave
20220919	18:00:00	cef88353-fab3-495e-8064-49fada65f880	GET	undefined	/subdir/css/style.css
20220919	18:00:05	dac7c9f9-e7ee-4e23-8d25-79369f914380	GET	undefined	/
20220919	18:00:05	ff3277f1-6be8-47b5-bf39-a2928a32fc47	GET	undefined	/css/style.css
20220919	18:00:26	cef8d9a2-1959-4623-b612-a33dd8021462	GET	undefined	/new-page
20220919	18:00:26	e8745f8e-14bf-476a-9e5d-f9d8b7fce18c	GET	undefined	/css/style.css
20220919	18:00:26	abb55b95-793a-4771-ac25-6bccb704c2e1	GET	undefined	/img/img1.jpg
20220919	18:01:01	90de127d-6a68-4e3d-82e3-508e906f0bba	GET	undefined	/new-page.html
20220919	18:01:01	792d82c2-7023-493e-81c1-847ecb95ad5d	GET	undefined	/css/style.css
20220919	18:01:01	4ca426e4-73b8-4b52-be42-9255c4b7aa1f	GET	undefined	/img/img1.jpg
20220919	18:01:14	828ccc5b-4068-4394-8790-7e6e49cb0b86	GET	undefined	/index
20220919	18:01:14	5011461f-2d58-4ec9-91cb-d536c73e86e8	GET	undefined	/css/style.css
20220919	18:19:27	8bcedc32-3d33-4ab0-ad1c-900ecd6adebe	GET	undefined	/employees
20220919	18:22:37	a66bd44b-2dba-4863-8f77-c90b1c6f192e	POST	undefined	/employees
20220919	18:24:57	8be1fa6d-7beb-4e8d-b95c-8f94d01c151c	POST	undefined	/employees
20220919	18:26:52	88a53261-c7e7-420e-b863-2e951b31420e	PUT	undefined	/employees
20220919	18:28:19	65f4985f-04c1-47a4-bcd4-506dd48d80a7	DELETE	undefined	/employees
20220919	18:28:51	785240e0-ba5e-4bdf-8234-6279089a7b09	GET	undefined	/employees/1
20220919	18:28:57	d76dd47f-4155-4998-b714-4fcd91c4424b	GET	undefined	/employees/2
20220920	23:01:19	f03c7914-d9e6-4516-8705-045a79fc3f3e	GET	undefined	/employees
20220920	23:06:42	401d7136-1c62-4230-a656-cc9021fd0097	POST	undefined	/employees
20220920	23:08:42	65d2073b-f597-4334-b3a7-9792b399dd67	PUT	undefined	/employees
20220920	23:09:06	bad0727e-b8e0-4e82-804b-acbd83918071	PUT	undefined	/employees
20220920	23:09:18	f53e3f60-f587-4df9-a880-59d28b44b07a	GET	undefined	/employees
20220920	23:13:02	7cddd61d-60ae-4a47-853e-d05cdcfc9619	PUT	undefined	/employees
20220920	23:15:12	966afd3b-cc69-4207-b608-cfe1f1ee2575	PUT	undefined	/employees
20220920	23:15:25	9926ae8e-b1fe-48ce-96b7-822c87e9033b	PUT	undefined	/employees
20220920	23:17:56	1c21f8fb-b969-4fc7-bd4d-9efb50803f6b	DELETE	undefined	/employees
20220920	23:17:56	cb10431d-ce80-4440-b17d-fa6bdce7e4f9	DELETE	undefined	/employees
20220920	23:18:19	ca27002a-6218-44a8-9a95-2932a2194932	DELETE	undefined	/employees
20220920	23:19:30	4e93bd8c-75fc-4dc6-b0a2-3f52a12bc4f2	GET	undefined	/employees/1
20220920	23:22:43	0b268e59-b0c1-48fe-a58b-a9b4af05164b	GET	undefined	/employees/1
20220920	23:22:48	672e8f3c-5646-4b6a-a0d5-4c6e86944b9e	GET	undefined	/employees/2
20220922	00:33:16	120a97a1-8496-4e53-8eb3-db164a7d757b	POST	undefined	/register
20220922	00:34:22	7eba5d35-497a-4472-a660-8c74a6b1edff	POST	undefined	/register
20220922	00:36:17	8c0423ac-8544-4d9c-940f-0d92d3082d4a	POST	undefined	/register
